Date,Open,High,Low,Close,Volume
2026-02-12 10:16:00,2800.0,2800.5,2798.0,2798.4,15645
2026-02-12 10:17:00,2798.4,2800.0,2796.2,2796.3,19225
2026-02-12 10:18:00,2795.9,2796.9,2792.1,2794.0,28407
2026-02-12 10:19:00,2794.0,2797.8,2792.2,2797.8,19183
2026-02-12 10:20:00,2798.4,2798.4,2795.4,2796.8,15534
2026-02-12 10:21:00,2796.9,2797.2,2794.5,2796.4,19448
2026-02-12 10:22:00,2797.0,2798.6,2794.2,2795.8,14433
2026-02-12 10:23:00,2795.6,2796.9,2792.0,2792.6,16664
2026-02-12 10:24:00,2794.0,2796.3,2791.1,2792.4,27053
2026-02-12 10:25:00,2792.5,2792.7,2788.6,2790.2,66297
2026-02-12 10:26:00,2790.4,2791.8,2789.2,2791.8,9721
2026-02-12 10:27:00,2791.5,2794.0,2791.5,2792.2,23110
2026-02-12 10:28:00,2792.1,2793.3,2789.5,2792.0,15377
2026-02-12 10:29:00,2791.6,2793.3,2791.0,2793.3,18677
2026-02-12 10:30:00,2793.3,2794.4,2790.3,2794.0,23720
2026-02-12 10:31:00,2793.8,2793.9,2791.9,2793.9,11033
2026-02-12 10:32:00,2793.8,2794.8,2791.0,2791.6,10311
2026-02-12 10:33:00,2791.6,2792.0,2789.7,2791.0,22871
2026-02-12 10:34:00,2790.9,2790.9,2788.2,2789.9,14500
2026-02-12 10:35:00,2790.0,2790.0,2789.0,2789.2,11527
2026-02-12 10:36:00,2789.0,2789.3,2786.2,2787.5,49600
2026-02-12 10:37:00,2787.5,2787.6,2784.8,2787.4,51903
2026-02-12 10:38:00,2787.3,2787.3,2785.5,2786.8,40009
2026-02-12 10:39:00,2786.8,2789.3,2786.0,2789.3,11617
2026-02-12 10:40:00,2789.2,2789.9,2788.6,2789.5,23902
2026-02-12 10:41:00,2789.5,2790.3,2789.0,2789.4,38376
2026-02-12 10:42:00,2789.4,2790.3,2787.4,2788.6,13006
2026-02-12 10:43:00,2788.6,2789.5,2788.3,2788.7,8634
2026-02-12 10:44:00,2788.8,2789.7,2788.5,2789.6,12215
2026-02-12 10:45:00,2789.6,2790.5,2789.0,2790.2,8728
2026-02-12 10:46:00,2790.2,2790.2,2789.2,2790.0,12107
2026-02-12 10:47:00,2790.0,2790.9,2788.0,2789.1,15218
2026-02-12 10:48:00,2789.1,2789.2,2787.8,2788.8,7144
2026-02-12 10:49:00,2788.9,2789.7,2788.1,2789.4,7300
2026-02-12 10:50:00,2789.4,2789.9,2788.1,2789.0,14118
2026-02-12 10:51:00,2789.0,2789.4,2785.0,2785.9,16966
2026-02-12 10:52:00,2785.9,2788.7,2783.0,2783.7,29616
2026-02-12 10:53:00,2784.0,2788.0,2783.7,2786.4,10414
2026-02-12 10:54:00,2786.4,2787.7,2785.7,2787.2,5591
2026-02-12 10:55:00,2787.2,2787.3,2786.6,2787.0,5739
2026-02-12 10:56:00,2787.0,2787.7,2785.8,2787.7,117648
2026-02-12 10:57:00,2787.7,2787.7,2786.2,2786.9,6230
2026-02-12 10:58:00,2786.6,2787.9,2786.6,2787.7,9690
2026-02-12 10:59:00,2787.7,2789.0,2787.4,2788.2,28867
2026-02-12 11:00:00,2787.4,2789.0,2785.5,2785.6,30213
2026-02-12 11:01:00,2786.5,2787.4,2786.0,2786.9,19977
2026-02-12 11:02:00,2786.7,2786.7,2784.0,2785.1,20502
2026-02-12 11:03:00,2785.2,2785.7,2783.0,2784.0,19709
2026-02-12 11:04:00,2784.0,2784.6,2781.5,2782.7,19106
2026-02-12 11:05:00,2782.7,2784.3,2781.2,2782.6,42025
2026-02-12 11:06:00,2782.5,2782.7,2780.2,2781.4,63988
2026-02-12 11:07:00,2781.5,2784.3,2780.0,2784.3,46336
2026-02-12 11:08:00,2784.3,2787.5,2784.3,2786.4,14488
2026-02-12 11:09:00,2786.5,2787.0,2785.6,2786.1,8047
2026-02-12 11:10:00,2786.1,2786.3,2782.2,2783.3,16110
2026-02-12 11:11:00,2783.3,2784.6,2782.7,2784.0,7133
2026-02-12 11:12:00,2784.4,2784.7,2783.0,2784.7,8199
2026-02-12 11:13:00,2784.0,2784.9,2783.1,2783.6,6578
2026-02-12 11:14:00,2784.1,2785.4,2782.0,2782.8,17632
2026-02-12 11:15:00,2782.6,2782.8,2781.2,2781.8,9736
2026-02-12 11:16:00,2781.8,2782.3,2780.4,2780.4,14562
2026-02-12 11:17:00,2780.1,2781.6,2779.1,2780.1,35685
2026-02-12 11:18:00,2780.1,2780.8,2780.0,2780.1,19038
2026-02-12 11:19:00,2780.1,2780.3,2778.3,2779.3,37398
2026-02-12 11:20:00,2779.8,2780.0,2778.7,2779.9,9874
2026-02-12 11:21:00,2779.9,2780.5,2777.2,2778.3,35381
2026-02-12 11:22:00,2777.6,2778.5,2776.2,2777.0,19815
2026-02-12 11:23:00,2777.0,2780.1,2777.0,2778.4,10335
2026-02-12 11:24:00,2778.4,2779.8,2777.7,2778.8,9012
2026-02-12 11:25:00,2779.0,2779.4,2777.2,2778.0,7649
2026-02-12 11:26:00,2778.1,2778.3,2776.5,2776.5,10595
2026-02-12 11:27:00,2776.7,2777.2,2776.2,2776.9,10775
2026-02-12 11:28:00,2776.8,2777.2,2775.1,2775.1,26717
2026-02-12 11:29:00,2775.7,2776.5,2774.4,2775.4,61731
2026-02-12 11:30:00,2775.4,2775.4,2774.0,2774.1,12189
2026-02-12 11:31:00,2773.9,2774.1,2770.5,2771.8,35824
2026-02-12 11:32:00,2771.9,2772.0,2770.3,2771.6,19905
2026-02-12 11:33:00,2772.0,2772.2,2769.0,2771.3,53257
2026-02-12 11:34:00,2771.3,2772.0,2769.8,2771.2,15902
